Active,Database,Schema,ObjectType,ObjectName,Area,Description
1,EDW,dbo,SQL_STORED_PROCEDURE,LOAD_D_REP_CUR,ETL,"""Load Performance"""
1,EDW,dbo,SQL_STORED_PROCEDURE,LOAD_D_CUSTOMER_HIERARCHY,ETL,"""Load Performance"""
1,EDW,dbo,SQL_STORED_PROCEDURE,LOAD_F_REVENUE_TX,ETL,"""Load Performance"""
1,EDW,dbo,SQL_STORED_PROCEDURE,LOAD_F_SHIPMENT_TX,ETL,"""Load Performance"""
1,EDW,dbo,SQL_STORED_PROCEDURE,LOAD_F_REV_YOY_AGG,ETL,"""Load Performance"""
1,EDW,dbo,SQL_STORED_PROCEDURE,LOAD_D_REP_CUR,ETL,"""Load 2 Performance an dIn Parallel"""
1,EDW,dbo,SQL_STORED_PROCEDURE,LOAD_F_SALES_QUOTA_TX,ETL,"""Load 2 Performance an dIn Parallel"""
1,EDW,dbo,SQL_STORED_PROCEDURE,LOAD_F_FLIGHT_HOLD_DS,ETL,"""Load 3 Performance an dIn Parallel"""
1,EDW,dbo,SQL_STORED_PROCEDURE,LOAD_F_REV_OPPS_TX,ETL,"""Load 3 Performance an dIn Parallel"""
1,EDW,dbo,SQL_STORED_PROCEDURE,LOAD_F_PERFECT_ORDER_TX,ETL,"""Load 3 Performance an dIn Parallel"""
